resnet50,vit_b16,clip_b32,clip_zs,id,shape,texture
other,other,other,other,148,deer,airplane
texture,texture,other,other,149,deer,airplane
other,other,other,other,150,deer,airplane
other,other,other,other,151,deer,airplane
other,other,shape,shape,152,deer,airplane
other,shape,shape,shape,153,deer,airplane
other,other,texture,other,154,deer,airplane
other,texture,other,other,155,deer,airplane
other,texture,shape,shape,156,deer,airplane
other,shape,other,other,157,deer,airplane
other,texture,other,shape,158,deer,airplane
other,other,other,other,159,deer,airplane
other,texture,other,shape,160,deer,airplane
other,other,other,other,161,deer,airplane
other,shape,shape,shape,162,deer,airplane
texture,texture,other,other,163,deer,airplane
texture,texture,texture,other,164,deer,airplane
shape,texture,other,shape,165,deer,airplane
texture,other,shape,other,168,airplane,deer
other,shape,other,other,169,airplane,deer
other,other,shape,shape,170,airplane,deer
other,other,shape,shape,171,airplane,deer
other,shape,shape,shape,172,airplane,deer
other,shape,other,other,173,airplane,deer
texture,texture,other,other,174,airplane,deer
texture,shape,shape,shape,175,airplane,deer
shape,shape,shape,shape,176,airplane,deer
texture,other,other,other,177,airplane,deer
texture,other,texture,texture,178,airplane,deer
texture,shape,shape,shape,179,airplane,deer
texture,other,other,other,180,airplane,deer
texture,shape,other,other,181,airplane,deer
other,shape,shape,other,182,airplane,deer
other,texture,other,texture,183,airplane,deer
other,shape,shape,other,184,airplane,deer
texture,shape,texture,texture,185,airplane,deer
other,texture,other,other,186,airplane,deer
texture,other,shape,texture,187,airplane,deer
texture,other,other,other,188,airplane,deer
other,shape,other,other,190,airplane,deer
shape,shape,shape,shape,192,bird,monkey
shape,shape,shape,shape,193,bird,monkey
shape,shape,shape,shape,194,bird,monkey
texture,texture,shape,shape,195,bird,monkey
shape,shape,shape,shape,196,bird,monkey
shape,shape,shape,shape,197,bird,monkey
shape,shape,shape,shape,198,bird,monkey
shape,shape,shape,shape,199,bird,monkey
shape,shape,shape,shape,201,bird,monkey
shape,shape,shape,shape,202,bird,monkey
shape,shape,shape,shape,203,bird,monkey
shape,shape,shape,shape,204,bird,monkey
shape,shape,shape,shape,205,bird,monkey
shape,shape,shape,shape,206,bird,monkey
shape,shape,shape,shape,207,bird,monkey
shape,shape,shape,shape,208,bird,monkey
shape,shape,shape,shape,209,bird,monkey
shape,shape,shape,shape,210,bird,monkey
shape,other,shape,shape,211,bird,monkey
shape,shape,shape,shape,212,bird,monkey
other,shape,texture,other,213,bird,monkey
shape,texture,shape,shape,214,bird,monkey
texture,shape,shape,shape,216,monkey,bird
texture,texture,texture,texture,217,monkey,bird
shape,shape,shape,shape,218,monkey,bird
texture,texture,texture,texture,220,monkey,bird
texture,texture,texture,texture,221,monkey,bird
texture,texture,shape,shape,222,monkey,bird
texture,shape,other,other,223,monkey,bird
texture,shape,texture,texture,224,monkey,bird
texture,shape,texture,shape,225,monkey,bird
shape,shape,other,other,226,monkey,bird
texture,texture,texture,texture,227,monkey,bird
texture,shape,texture,shape,228,monkey,bird
texture,other,shape,shape,229,monkey,bird
other,shape,shape,shape,230,monkey,bird
texture,other,shape,texture,231,monkey,bird
shape,shape,shape,shape,232,monkey,bird
texture,other,shape,shape,234,monkey,bird
texture,texture,texture,texture,235,monkey,bird
texture,texture,texture,shape,236,monkey,bird
texture,shape,texture,texture,237,monkey,bird
texture,texture,texture,texture,238,monkey,bird
shape,shape,shape,shape,239,monkey,bird
