group,fine_class,index,pred,second_choice,u,tau,margin_below_tau,max_logit,max_softmax,plausible_targets,map_label
near,pickup_truck,4515,automobile,ship,-10.2136,-5.77559,4.43799,10.2136,0.99986,automobile/truck,plausible
near,wolf,6010,deer,dog,-10.1991,-5.77559,4.42349,10.1991,0.999805,dog,surprising
near,bus,5853,truck,automobile,-10.1828,-5.77559,4.40724,10.1828,0.999722,automobile/truck,plausible
near,fox,5832,deer,cat,-10.1797,-5.77559,4.40415,10.1797,0.999707,dog/cat,surprising
far,mushroom,4982,bird,cat,-10.1687,-5.77559,4.39312,10.1687,0.9998,-,surprising
near,pickup_truck,6574,automobile,truck,-10.1686,-5.77559,4.39299,10.1686,0.999713,automobile/truck,plausible
far,mushroom,5820,bird,deer,-10.1616,-5.77559,4.38605,10.1616,0.99979,-,surprising
near,pickup_truck,5110,automobile,truck,-10.154,-5.77559,4.37843,10.154,0.999156,automobile/truck,plausible
near,pickup_truck,353,automobile,truck,-10.1398,-5.77559,4.36417,10.1398,0.99962,automobile/truck,plausible
far,wardrobe,6161,truck,automobile,-10.1329,-5.77559,4.35729,10.1329,0.999079,-,surprising
near,wolf,9790,cat,dog,-10.1294,-5.77559,4.35379,10.1294,0.999636,dog,surprising
near,bus,7816,truck,automobile,-10.1223,-5.77559,4.3467,10.1223,0.999231,automobile/truck,plausible
near,pickup_truck,8947,truck,automobile,-10.1124,-5.77559,4.33676,10.1124,0.999637,automobile/truck,plausible
near,wolf,7135,dog,cat,-10.1112,-5.77559,4.33565,10.1112,0.999825,dog,plausible
near,fox,2544,deer,dog,-10.068,-5.77559,4.29245,10.068,0.999089,dog/cat,surprising
near,fox,351,cat,deer,-10.0576,-5.77559,4.28198,10.0576,0.999533,dog/cat,plausible
near,pickup_truck,5009,automobile,truck,-10.0574,-5.77559,4.28176,10.0574,0.999744,automobile/truck,plausible
near,camel,8143,cat,dog,-10.0463,-5.77559,4.27072,10.0463,0.99964,horse/deer,surprising
near,wolf,4285,dog,bird,-10.0391,-5.77559,4.26352,10.0391,0.999715,dog,plausible
near,bus,2832,truck,ship,-9.97731,-5.77559,4.20172,9.97731,0.99977,automobile/truck,plausible
near,pickup_truck,4335,truck,deer,-9.9612,-5.77559,4.18561,9.9612,0.999825,automobile/truck,plausible
near,bus,619,automobile,truck,-9.94474,-5.77559,4.16914,9.94474,0.999488,automobile/truck,plausible
near,bus,94,truck,automobile,-9.93527,-5.77559,4.15968,9.93527,0.99983,automobile/truck,plausible
near,fox,7225,cat,frog,-9.92254,-5.77559,4.14695,9.92254,0.999777,dog/cat,plausible
near,bus,4201,truck,airplane,-9.91742,-5.77559,4.14183,9.91742,0.998758,automobile/truck,plausible
near,bus,7508,truck,automobile,-9.90919,-5.77559,4.13359,9.90919,0.999789,automobile/truck,plausible
near,wolf,5078,dog,deer,-9.9053,-5.77559,4.12971,9.9053,0.999834,dog,plausible
near,bus,4185,truck,ship,-9.90451,-5.77559,4.12892,9.90451,0.999754,automobile/truck,plausible
near,wolf,1345,cat,deer,-9.89702,-5.77559,4.12143,9.89702,0.999717,dog,surprising
near,pickup_truck,5756,automobile,truck,-9.88315,-5.77559,4.10756,9.88315,0.999641,automobile/truck,plausible
near,bus,4296,truck,automobile,-9.87862,-5.77559,4.10303,9.87862,0.999622,automobile/truck,plausible
near,bus,1445,truck,automobile,-9.87834,-5.77559,4.10275,9.87834,0.999704,automobile/truck,plausible
near,camel,6418,deer,horse,-9.86026,-5.77559,4.08467,9.86026,0.999677,horse/deer,plausible
near,tractor,6930,truck,frog,-9.83626,-5.77559,4.06067,9.83626,0.999764,automobile/truck,plausible
near,motorcycle,3376,automobile,truck,-9.81854,-5.77559,4.04295,9.81854,0.999614,automobile/truck,plausible
far,keyboard,8369,truck,automobile,-9.8045,-5.77559,4.02891,9.8045,0.999682,-,surprising
near,bus,5184,truck,automobile,-9.79736,-5.77559,4.02177,9.79736,0.999348,automobile/truck,plausible
near,wolf,3877,cat,deer,-9.78797,-5.77559,4.01238,9.78797,0.99955,dog,surprising
far,wardrobe,7171,truck,cat,-9.77779,-5.77559,4.00219,9.77779,0.998304,-,surprising
near,pickup_truck,9447,automobile,truck,-9.76999,-5.77559,3.9944,9.76999,0.99969,automobile/truck,plausible
near,pickup_truck,4870,automobile,truck,-9.76857,-5.77559,3.99298,9.76857,0.999754,automobile/truck,plausible
near,bus,2591,truck,automobile,-9.76062,-5.77559,3.98503,9.76062,0.999493,automobile/truck,plausible
far,wardrobe,4933,truck,cat,-9.75614,-5.77559,3.98055,9.75614,0.996077,-,surprising
near,bus,1985,automobile,airplane,-9.73925,-5.77559,3.96366,9.73925,0.999658,automobile/truck,plausible
far,bowl,4252,cat,ship,-9.72821,-5.77559,3.95262,9.72821,0.999001,-,surprising
near,camel,811,deer,bird,-9.7276,-5.77559,3.95201,9.7276,0.997957,horse/deer,plausible
far,wardrobe,6423,truck,automobile,-9.72154,-5.77559,3.94594,9.72154,0.999679,-,surprising
far,clock,1586,truck,automobile,-9.70741,-5.77559,3.93182,9.70741,0.999617,-,surprising
far,wardrobe,9149,truck,cat,-9.69376,-5.77559,3.91817,9.69376,0.999644,-,surprising
near,pickup_truck,150,truck,automobile,-9.68664,-5.77559,3.91105,9.68664,0.999721,automobile/truck,plausible
near,pickup_truck,6075,automobile,truck,-9.68486,-5.77559,3.90927,9.68486,0.999681,automobile/truck,plausible
far,bowl,3765,ship,cat,-9.65061,-5.77559,3.87502,9.65061,0.999748,-,surprising
near,bus,2843,truck,ship,-9.65042,-5.77559,3.87483,9.65042,0.999698,automobile/truck,plausible
near,fox,8187,cat,dog,-9.64139,-5.77559,3.8658,9.64139,0.999612,dog/cat,plausible
far,sunflower,9315,cat,bird,-9.63306,-5.77559,3.85747,9.63306,0.999007,-,surprising
near,fox,4264,deer,dog,-9.61821,-5.77559,3.84262,9.61821,0.999705,dog/cat,surprising
near,bus,3197,truck,automobile,-9.5913,-5.77559,3.81571,9.5913,0.999721,automobile/truck,plausible
near,tractor,4691,truck,ship,-9.58271,-5.77559,3.80712,9.58271,0.999691,automobile/truck,plausible
far,clock,6981,ship,airplane,-9.58215,-5.77559,3.80656,9.58215,0.999566,-,surprising
far,bowl,2656,cat,bird,-9.56704,-5.77559,3.79145,9.56704,0.99962,-,surprising
near,wolf,6967,dog,cat,-9.55954,-5.77559,3.78395,9.55954,0.999613,dog,plausible
near,bus,6176,truck,automobile,-9.54047,-5.77559,3.76488,9.54047,0.99949,automobile/truck,plausible
near,wolf,5425,dog,cat,-9.52969,-5.77559,3.7541,9.52969,0.99967,dog,plausible
near,wolf,6552,cat,frog,-9.52569,-5.77559,3.7501,9.52569,0.999638,dog,surprising
near,pickup_truck,6653,automobile,truck,-9.51987,-5.77559,3.74428,9.51987,0.999447,automobile/truck,plausible
near,tractor,6360,automobile,truck,-9.51693,-5.77559,3.74134,9.51693,0.9991,automobile/truck,plausible
far,wardrobe,7604,truck,bird,-9.48679,-5.77559,3.7112,9.48679,0.999521,-,surprising
near,leopard,3104,cat,dog,-9.48495,-5.77559,3.70936,9.48495,0.999671,cat,plausible
near,camel,9531,dog,horse,-9.47631,-5.77559,3.70072,9.47631,0.999535,horse/deer,surprising
far,wardrobe,3053,truck,ship,-9.47154,-5.77559,3.69595,9.47154,0.99955,-,surprising
near,pickup_truck,4463,automobile,truck,-9.45973,-5.77559,3.68414,9.45973,0.998943,automobile/truck,plausible
far,wardrobe,2432,truck,cat,-9.45191,-5.77559,3.67631,9.45191,0.997021,-,surprising
near,tractor,5550,truck,cat,-9.45147,-5.77559,3.67588,9.45147,0.999529,automobile/truck,plausible
near,pickup_truck,149,automobile,truck,-9.44758,-5.77559,3.67199,9.44758,0.999589,automobile/truck,plausible
near,bus,8958,automobile,truck,-9.42671,-5.77559,3.65112,9.42671,0.999636,automobile/truck,plausible
near,wolf,2826,deer,cat,-9.42087,-5.77559,3.64528,9.42087,0.999411,dog,surprising
near,wolf,1519,dog,cat,-9.42015,-5.77559,3.64456,9.42015,0.996958,dog,plausible
near,pickup_truck,2100,automobile,truck,-9.41416,-5.77559,3.63857,9.41416,0.99968,automobile/truck,plausible
near,pickup_truck,9878,automobile,truck,-9.41304,-5.77559,3.63745,9.41304,0.999491,automobile/truck,plausible
near,pickup_truck,1913,truck,automobile,-9.39715,-5.77559,3.62156,9.39715,0.998874,automobile/truck,plausible
far,clock,6673,cat,ship,-9.39439,-5.77559,3.6188,9.39439,0.999032,-,surprising
near,fox,8109,deer,frog,-9.39236,-5.77559,3.61677,9.39236,0.9994,dog/cat,surprising
near,pickup_truck,9880,truck,automobile,-9.38845,-5.77559,3.61286,9.38845,0.999409,automobile/truck,plausible
near,bus,5634,truck,airplane,-9.38703,-5.77559,3.61144,9.38703,0.999481,automobile/truck,plausible
near,tractor,7086,truck,automobile,-9.38313,-5.77559,3.60754,9.38313,0.999127,automobile/truck,plausible
far,sunflower,1781,airplane,bird,-9.37484,-5.77559,3.59925,9.37484,0.998293,-,surprising
near,bus,4586,automobile,truck,-9.37099,-5.77559,3.5954,9.37099,0.995637,automobile/truck,plausible
near,bus,5163,truck,ship,-9.36796,-5.77559,3.59237,9.36796,0.999509,automobile/truck,plausible
far,bowl,9492,ship,airplane,-9.35234,-5.77559,3.57675,9.35234,0.999635,-,surprising
near,bus,5748,truck,ship,-9.34569,-5.77559,3.5701,9.34569,0.99918,automobile/truck,plausible
near,camel,9142,horse,dog,-9.34326,-5.77559,3.56767,9.34326,0.999647,horse/deer,plausible
near,wolf,3487,cat,dog,-9.32581,-5.77559,3.55021,9.32581,0.99781,dog,surprising
near,wolf,9587,cat,dog,-9.32559,-5.77559,3.55,9.32559,0.999377,dog,surprising
near,camel,4435,dog,cat,-9.32258,-5.77559,3.54699,9.32258,0.999439,horse/deer,surprising
near,wolf,809,dog,deer,-9.31699,-5.77559,3.54139,9.31699,0.999356,dog,plausible
near,pickup_truck,7559,automobile,truck,-9.313,-5.77559,3.53741,9.313,0.9989,automobile/truck,plausible
near,wolf,7087,cat,dog,-9.30688,-5.77559,3.53129,9.30688,0.990554,dog,surprising
near,bus,1478,truck,ship,-9.29561,-5.77559,3.52002,9.29561,0.999418,automobile/truck,plausible
far,wardrobe,8236,truck,cat,-9.29464,-5.77559,3.51905,9.29464,0.999455,-,surprising
far,mushroom,7787,bird,cat,-9.28806,-5.77559,3.51247,9.28806,0.996109,-,surprising
near,tractor,9019,truck,airplane,-9.28697,-5.77559,3.51138,9.28697,0.99963,automobile/truck,plausible
near,fox,9453,cat,dog,-9.27431,-5.77559,3.49872,9.27431,0.999508,dog/cat,plausible
near,bus,766,truck,ship,-9.26987,-5.77559,3.49428,9.26987,0.999493,automobile/truck,plausible
near,pickup_truck,5149,truck,automobile,-9.26957,-5.77559,3.49397,9.26957,0.999564,automobile/truck,plausible
near,motorcycle,9017,automobile,truck,-9.25717,-5.77559,3.48157,9.25717,0.999215,automobile/truck,plausible
near,pickup_truck,7900,automobile,truck,-9.25544,-5.77559,3.47985,9.25544,0.999573,automobile/truck,plausible
near,fox,7317,deer,cat,-9.25354,-5.77559,3.47795,9.25354,0.999082,dog/cat,surprising
near,bus,3887,truck,ship,-9.24284,-5.77559,3.46725,9.24284,0.999225,automobile/truck,plausible
near,pickup_truck,9676,automobile,truck,-9.24178,-5.77559,3.46619,9.24178,0.999339,automobile/truck,plausible
far,mushroom,1760,bird,frog,-9.23983,-5.77559,3.46424,9.23983,0.999016,-,surprising
near,pickup_truck,9388,automobile,ship,-9.22822,-5.77559,3.45262,9.22822,0.999573,automobile/truck,plausible
far,chair,5096,airplane,cat,-9.22263,-5.77559,3.44704,9.22263,0.9991,-,surprising
near,bus,8609,truck,ship,-9.21871,-5.77559,3.44312,9.21871,0.999597,automobile/truck,plausible
far,bowl,8004,cat,frog,-9.20996,-5.77559,3.43437,9.20996,0.998895,-,surprising
near,camel,5762,bird,horse,-9.2034,-5.77559,3.42781,9.2034,0.997341,horse/deer,surprising
near,pickup_truck,460,automobile,truck,-9.18162,-5.77559,3.40603,9.18162,0.999428,automobile/truck,plausible
far,keyboard,3586,cat,deer,-9.17172,-5.77559,3.39613,9.17172,0.998033,-,surprising
near,bus,1489,truck,airplane,-9.16486,-5.77559,3.38927,9.16486,0.999323,automobile/truck,plausible
near,leopard,3379,bird,cat,-9.15102,-5.77559,3.37543,9.15102,0.998078,cat,surprising
near,leopard,9261,frog,cat,-9.14886,-5.77559,3.37327,9.14886,0.999179,cat,surprising
near,fox,3760,cat,frog,-9.1423,-5.77559,3.36671,9.1423,0.999374,dog/cat,plausible
far,mushroom,3968,frog,cat,-9.14181,-5.77559,3.36622,9.14181,0.999423,-,surprising
near,bus,3106,truck,automobile,-9.14128,-5.77559,3.36569,9.14128,0.999178,automobile/truck,plausible
near,fox,9842,deer,cat,-9.12239,-5.77559,3.3468,9.12239,0.998325,dog/cat,surprising
near,bus,2203,automobile,truck,-9.12044,-5.77559,3.34485,9.12044,0.998477,automobile/truck,plausible
near,leopard,9575,frog,bird,-9.11423,-5.77559,3.33864,9.11423,0.999367,cat,surprising
far,wardrobe,5666,cat,truck,-9.10776,-5.77559,3.33217,9.10776,0.991404,-,surprising
near,tractor,3484,truck,automobile,-9.09667,-5.77559,3.32108,9.09667,0.999246,automobile/truck,plausible
far,clock,3210,automobile,ship,-9.09229,-5.77559,3.3167,9.09229,0.997667,-,surprising
near,camel,5029,deer,bird,-9.09078,-5.77559,3.31519,9.09078,0.998988,horse/deer,plausible
far,bottle,2510,cat,ship,-9.07591,-5.77559,3.30032,9.07591,0.999499,-,surprising
near,pickup_truck,3655,automobile,truck,-9.06645,-5.77559,3.29086,9.06645,0.997304,automobile/truck,plausible
far,bowl,3304,bird,airplane,-9.06374,-5.77559,3.28815,9.06374,0.992635,-,surprising
near,bus,1271,truck,automobile,-9.05727,-5.77559,3.28168,9.05727,0.999105,automobile/truck,plausible
far,mushroom,9103,bird,frog,-9.05682,-5.77559,3.28123,9.05682,0.999392,-,surprising
far,bottle,340,ship,cat,-9.05254,-5.77559,3.27695,9.05254,0.999029,-,surprising
near,leopard,1843,deer,cat,-9.05135,-5.77559,3.27576,9.05135,0.998705,cat,surprising
near,leopard,5698,frog,bird,-9.04798,-5.77559,3.27239,9.04798,0.999327,cat,surprising
near,tractor,299,automobile,truck,-9.04578,-5.77559,3.27018,9.04578,0.998751,automobile/truck,plausible
near,bus,5920,truck,ship,-9.03335,-5.77559,3.25775,9.03335,0.996735,automobile/truck,plausible
near,fox,7564,cat,dog,-9.03243,-5.77559,3.25684,9.03243,0.994832,dog/cat,plausible
near,tractor,1260,truck,automobile,-9.03189,-5.77559,3.2563,9.03189,0.999427,automobile/truck,plausible
far,clock,7224,truck,automobile,-9.02376,-5.77559,3.24817,9.02376,0.997397,-,surprising
near,leopard,555,cat,frog,-9.02035,-5.77559,3.24476,9.02035,0.987654,cat,plausible
near,camel,1572,deer,bird,-9.01982,-5.77559,3.24422,9.01982,0.999351,horse/deer,plausible
far,sunflower,6030,bird,cat,-9.00667,-5.77559,3.23108,9.00667,0.999402,-,surprising
near,bus,2484,truck,automobile,-8.99822,-5.77559,3.22263,8.99822,0.998127,automobile/truck,plausible
near,pickup_truck,2882,automobile,truck,-8.9926,-5.77559,3.21701,8.9926,0.998168,automobile/truck,plausible
near,camel,7298,horse,deer,-8.99251,-5.77559,3.21692,8.99251,0.998231,horse/deer,plausible
near,pickup_truck,8082,automobile,truck,-8.99185,-5.77559,3.21626,8.99185,0.999353,automobile/truck,plausible
near,pickup_truck,796,truck,automobile,-8.98586,-5.77559,3.21027,8.98586,0.999424,automobile/truck,plausible
near,motorcycle,5350,truck,automobile,-8.98108,-5.77559,3.20548,8.98108,0.999316,automobile/truck,plausible
near,pickup_truck,4588,automobile,truck,-8.98082,-5.77559,3.20523,8.98082,0.999219,automobile/truck,plausible
near,fox,6162,cat,dog,-8.98056,-5.77559,3.20497,8.98056,0.998738,dog/cat,plausible
near,bus,4788,automobile,truck,-8.97924,-5.77559,3.20365,8.97924,0.997142,automobile/truck,plausible
near,bus,5654,automobile,truck,-8.97826,-5.77559,3.20267,8.97826,0.999513,automobile/truck,plausible
near,pickup_truck,256,truck,automobile,-8.97122,-5.77559,3.19563,8.97122,0.999221,automobile/truck,plausible
far,bowl,452,automobile,ship,-8.96988,-5.77559,3.19429,8.96988,0.997214,-,surprising
near,pickup_truck,4693,automobile,airplane,-8.96244,-5.77559,3.18685,8.96244,0.998822,automobile/truck,plausible
near,bus,4104,airplane,horse,-8.9562,-5.77559,3.18061,8.9562,0.999232,automobile/truck,surprising
far,bowl,2302,frog,automobile,-8.94424,-5.77559,3.16865,8.94424,0.999171,-,surprising
near,pickup_truck,803,automobile,truck,-8.93865,-5.77559,3.16306,8.93865,0.999088,automobile/truck,plausible
near,pickup_truck,2603,automobile,truck,-8.93384,-5.77559,3.15825,8.93384,0.999401,automobile/truck,plausible
near,fox,3605,dog,cat,-8.93319,-5.77559,3.1576,8.93319,0.99857,dog/cat,plausible
near,leopard,4238,dog,cat,-8.93263,-5.77559,3.15704,8.93263,0.99927,cat,surprising
far,keyboard,6907,truck,automobile,-8.92802,-5.77559,3.15242,8.92802,0.998622,-,surprising
far,bottle,6507,cat,dog,-8.9272,-5.77559,3.1516,8.9272,0.99781,-,surprising
far,clock,4704,truck,frog,-8.92573,-5.77559,3.15014,8.92573,0.998753,-,surprising
near,tractor,9704,truck,automobile,-8.92429,-5.77559,3.1487,8.92429,0.99501,automobile/truck,plausible
near,wolf,7028,cat,dog,-8.92116,-5.77559,3.14557,8.92116,0.997812,dog,surprising
near,wolf,2102,bird,frog,-8.92019,-5.77559,3.1446,8.92019,0.998649,dog,surprising
near,pickup_truck,5008,automobile,truck,-8.91898,-5.77559,3.14339,8.91898,0.999432,automobile/truck,plausible
near,wolf,2219,dog,cat,-8.91775,-5.77559,3.14216,8.91775,0.999047,dog,plausible
far,bottle,5981,cat,dog,-8.9033,-5.77559,3.12771,8.9033,0.997973,-,surprising
near,leopard,5399,cat,frog,-8.90156,-5.77559,3.12597,8.90156,0.999211,cat,plausible
near,bus,7376,truck,automobile,-8.90114,-5.77559,3.12555,8.90114,0.99918,automobile/truck,plausible
far,mushroom,8707,bird,cat,-8.90078,-5.77559,3.12519,8.90078,0.994149,-,surprising
near,fox,5726,bird,frog,-8.89508,-5.77559,3.11949,8.89508,0.999128,dog/cat,surprising
far,bowl,2797,cat,automobile,-8.88246,-5.77559,3.10687,8.88246,0.999143,-,surprising
near,motorcycle,1023,truck,automobile,-8.87967,-5.77559,3.10408,8.87967,0.998633,automobile/truck,plausible
near,pickup_truck,7207,automobile,truck,-8.8776,-5.77559,3.10201,8.8776,0.99907,automobile/truck,plausible
near,pickup_truck,8953,automobile,truck,-8.87756,-5.77559,3.10197,8.87756,0.999414,automobile/truck,plausible
far,mushroom,5219,cat,deer,-8.86626,-5.77559,3.09067,8.86626,0.988746,-,surprising
far,bowl,6559,airplane,cat,-8.86516,-5.77559,3.08956,8.86516,0.994701,-,surprising
near,motorcycle,6382,automobile,truck,-8.86115,-5.77559,3.08556,8.86115,0.998605,automobile/truck,plausible
near,fox,8715,cat,dog,-8.85956,-5.77559,3.08397,8.85956,0.999249,dog/cat,plausible
near,pickup_truck,7962,truck,automobile,-8.85863,-5.77559,3.08304,8.85863,0.999163,automobile/truck,plausible
near,tractor,2956,truck,automobile,-8.85496,-5.77559,3.07937,8.85496,0.998558,automobile/truck,plausible
near,camel,2948,deer,horse,-8.85034,-5.77559,3.07474,8.85034,0.994744,horse/deer,plausible
near,camel,5664,dog,horse,-8.84718,-5.77559,3.07159,8.84718,0.998766,horse/deer,surprising
near,fox,1698,deer,dog,-8.8336,-5.77559,3.05801,8.8336,0.999265,dog/cat,surprising
near,leopard,6401,frog,deer,-8.83106,-5.77559,3.05547,8.83106,0.999021,cat,surprising
far,mushroom,1196,frog,bird,-8.8283,-5.77559,3.05271,8.8283,0.996544,-,surprising
far,chair,2577,deer,horse,-8.82578,-5.77559,3.05019,8.82578,0.994311,-,surprising
near,tractor,9203,truck,automobile,-8.82514,-5.77559,3.04955,8.82514,0.998463,automobile/truck,plausible
far,wardrobe,3378,cat,truck,-8.82402,-5.77559,3.04843,8.82402,0.996594,-,surprising
near,wolf,3886,dog,deer,-8.81466,-5.77559,3.03907,8.81466,0.999268,dog,plausible
far,wardrobe,4208,truck,cat,-8.81208,-5.77559,3.03649,8.81208,0.997167,-,surprising
near,wolf,3538,dog,cat,-8.81095,-5.77559,3.03536,8.81095,0.998782,dog,plausible
near,wolf,939,cat,dog,-8.80108,-5.77559,3.02549,8.80108,0.989607,dog,surprising
far,sunflower,3386,cat,bird,-8.801,-5.77559,3.02541,8.801,0.998644,-,surprising
far,keyboard,7868,airplane,cat,-8.78149,-5.77559,3.0059,8.78149,0.998291,-,surprising
near,pickup_truck,8455,automobile,truck,-8.7812,-5.77559,3.00561,8.7812,0.998996,automobile/truck,plausible
far,sunflower,9433,bird,deer,-8.77217,-5.77559,2.99658,8.77217,0.997247,-,surprising
near,tractor,5495,truck,horse,-8.75705,-5.77559,2.98146,8.75705,0.999121,automobile/truck,plausible
near,leopard,3567,dog,cat,-8.71974,-5.77559,2.94415,8.71974,0.998529,cat,surprising
far,bottle,6899,ship,truck,-8.71652,-5.77559,2.94093,8.71652,0.999164,-,surprising
near,pickup_truck,4881,automobile,truck,-8.70469,-5.77559,2.9291,8.70469,0.996487,automobile/truck,plausible
near,wolf,8713,dog,cat,-8.70334,-5.77559,2.92774,8.70334,0.999093,dog,plausible
far,keyboard,3247,truck,cat,-8.70073,-5.77559,2.92514,8.70073,0.997917,-,surprising
far,sunflower,976,truck,cat,-8.68726,-5.77559,2.91167,8.68726,0.999013,-,surprising
far,wardrobe,7469,truck,cat,-8.68158,-5.77559,2.90598,8.68158,0.994213,-,surprising
near,wolf,8418,cat,dog,-8.67576,-5.77559,2.90017,8.67576,0.996823,dog,surprising
near,motorcycle,7109,automobile,truck,-8.66108,-5.77559,2.88549,8.66108,0.980968,automobile/truck,plausible
far,mushroom,3636,cat,bird,-8.66089,-5.77559,2.88529,8.66089,0.990658,-,surprising
near,tractor,2624,truck,airplane,-8.65308,-5.77559,2.87749,8.65308,0.998971,automobile/truck,plausible
near,pickup_truck,9377,automobile,truck,-8.65116,-5.77559,2.87556,8.65116,0.996472,automobile/truck,plausible
near,wolf,5291,dog,cat,-8.64638,-5.77559,2.87079,8.64638,0.997129,dog,plausible
near,pickup_truck,7119,truck,automobile,-8.64596,-5.77559,2.87037,8.64596,0.996437,automobile/truck,plausible
near,leopard,9612,frog,cat,-8.63686,-5.77559,2.86127,8.63686,0.998853,cat,surprising
near,bus,6712,truck,ship,-8.62147,-5.77559,2.84588,8.62147,0.994265,automobile/truck,plausible
near,bus,8126,automobile,truck,-8.62025,-5.77559,2.84466,8.62025,0.992561,automobile/truck,plausible
