index,group,fine_class,pred,u_msp,u_mls,u_energy,u_mahalanobis,u_proser
3276,near,bus,truck,0.00052702961,-7.9137611,-7.9142883,155.37877,-0.00027132505
3478,near,bus,truck,0.17396066,-4.0537763,-4.2448891,2350.2673,8.4405948e-05
3564,near,bus,automobile,0.62779658,-2.5639238,-3.5522386,4001.2705,0.00013335664
3701,near,bus,truck,0.15973999,-4.9943962,-5.1684401,2116.6872,-3.3238101e-05
3755,near,bus,truck,0.00059902908,-7.8450012,-7.8456004,236.69239,-0.00024042534
3868,near,bus,automobile,0.24879512,-4.1410708,-4.4271477,2030.7699,3.4738237e-05
3887,near,bus,truck,0.0016297835,-7.1151371,-7.1167682,447.29927,-0.00023797853
3947,near,bus,truck,0.00914744,-5.9115863,-5.9207758,1436.5264,-0.00014789935
4104,near,bus,airplane,0.0011660085,-7.2495408,-7.2507075,475.65583,-0.0002492647
4129,near,bus,truck,0.32823934,-2.7466161,-3.1444693,2819.0752,0.00010778461
4173,near,bus,truck,0.00023621955,-8.7561522,-8.7563884,242.9776,-0.00032324281
4185,near,bus,truck,0.001250807,-7.302063,-7.3033146,258.10602,-0.00021999271
4201,near,bus,truck,0.10824914,-5.0205984,-5.1351669,3256.6478,-0.00012585654
4296,near,bus,truck,0.0014880914,-7.4079528,-7.409442,410.99911,-0.00018690614
4307,near,bus,truck,0.00032488513,-8.3632269,-8.3635518,383.09386,-0.00028852021
4426,near,bus,automobile,0.012850094,-5.6628466,-5.6757799,649.56273,-9.1320753e-05
4434,near,bus,truck,0.015458198,-5.129189,-5.1447679,1274.7909,-0.00011581083
4464,near,bus,truck,0.020236212,-5.2176623,-5.2381061,1219.514,-8.5860348e-05
4468,near,bus,truck,0.040031185,-5.3023496,-5.343204,1549.6638,-5.4361745e-05
4586,near,bus,automobile,0.019600194,-6.3824501,-6.4022449,1367.8629,-0.00012554127
4740,near,bus,truck,0.1641364,-3.376657,-3.5559468,2551.5014,4.7912959e-05
4756,near,bus,truck,0.60616936,-1.7156893,-2.6475236,4728.3295,0.00015530839
4788,near,bus,automobile,0.042467986,-5.4050241,-5.4484202,1205.6021,-5.8556748e-05
4808,near,bus,airplane,0.39124465,-3.8505642,-4.3469031,3655.6359,-7.2935261e-05
4998,near,bus,truck,0.021464485,-5.5843182,-5.6060164,1203.2247,-5.4932398e-05
5015,near,bus,truck,0.02038398,-5.6047902,-5.6253848,1298.6588,-8.4627837e-05
5020,near,bus,truck,0.43274984,-2.5950856,-3.1620405,3871.1299,0.00010611016
5064,near,bus,truck,0.0099398719,-5.7072964,-5.717286,863.95471,-8.4717837e-05
5163,near,bus,truck,0.0021352468,-6.9763613,-6.9784988,373.15266,-0.00019919668
5184,near,bus,truck,0.0042601688,-6.6223164,-6.6265856,585.5032,-0.00014982313
5201,near,bus,truck,0.00034886014,-8.9568977,-8.9572467,661.39212,-0.00032032371
5465,near,bus,truck,0.16171905,-3.3467603,-3.5231622,2637.085,3.2405927e-05
5634,near,bus,truck,0.0018571952,-6.9560905,-6.9579494,475.06678,-0.00024434731
5654,near,bus,automobile,0.0017273933,-6.8573627,-6.8590916,95.415678,-0.00020017192
5748,near,bus,truck,0.0027325356,-6.9576445,-6.9603807,488.46165,-0.00020871019
5853,near,bus,truck,0.00079116637,-7.8129768,-7.8137683,340.9242,-0.00024893774
5920,near,bus,truck,0.0035571688,-7.0360808,-7.0396443,853.23656,-0.00020728679
6116,near,bus,truck,0.0008263511,-8.1612406,-8.1620673,987.10905,-0.00027559851
6176,near,bus,truck,0.0098410595,-5.7527227,-5.7626125,898.39361,-0.00011624979
6303,near,bus,truck,0.28908377,-3.5137687,-3.8549693,3247.7335,6.6300337e-06
6339,near,bus,truck,0.00059917946,-8.0764542,-8.0770535,343.84206,-0.00026190905
6411,near,bus,truck,0.45425236,-3.2900994,-3.895698,3238.398,0.00014705364
6712,near,bus,truck,0.0066435275,-6.6355066,-6.6421723,1075.0869,-0.00015735267
6791,near,bus,ship,0.076439775,-4.5522089,-4.6317282,2113.2725,-2.2208842e-05
7133,near,bus,truck,0.00013520259,-9.0484428,-9.0485781,542.76193,-0.00038010364
7376,near,bus,truck,0.0045868407,-6.2389836,-6.243581,518.51843,-0.00015108739
7441,near,bus,truck,0.0015190037,-7.3533897,-7.3549099,425.53834,-0.00021442824
7508,near,bus,truck,0.001070195,-7.3202972,-7.321368,104.7437,-0.00023232437
7567,near,bus,truck,0.62597529,-2.5236564,-3.5070898,4434.2476,0.00016963221
7812,near,bus,truck,0.004372669,-6.6601152,-6.6644975,620.55416,-0.00016135073
7816,near,bus,truck,0.00090007241,-7.8451772,-7.8460777,357.80903,-0.00027102596
8023,near,bus,truck,0.36734492,-3.4547286,-3.9125585,3437.8234,5.4058608e-05
8085,near,bus,truck,0.00049883171,-8.003274,-8.0037729,421.67887,-0.00027180991
8126,near,bus,automobile,0.041700047,-5.211102,-5.2536965,1406.1544,-8.0777454e-05
8497,near,bus,truck,0.019468108,-4.7958646,-4.8155247,1541.8724,-0.00011152899
8596,near,bus,truck,0.01611172,-5.7382731,-5.7545161,1514.7298,-0.00014204286
8609,near,bus,truck,0.0013213863,-7.1753097,-7.1766319,321.90771,-0.00021183728
8655,near,bus,truck,0.00062986636,-7.7734337,-7.7740638,331.01423,-0.00029520174
8663,near,bus,truck,0.013862884,-5.536243,-5.5502028,1632.691,-0.0001422019
8717,near,bus,automobile,0.43067501,-3.1878824,-3.7511863,3265.3648,8.6730682e-05
8920,near,bus,truck,0.045823517,-4.3362942,-4.3832008,2085.8633,-1.9895493e-05
8958,near,bus,automobile,0.0015473004,-7.0663142,-7.0678627,135.13736,-0.00021536559
9027,near,bus,airplane,0.42195251,-2.6754801,-3.2235794,3278.9268,4.8856248e-05
9232,near,bus,truck,0.00044173254,-8.2849674,-8.2854093,331.6468,-0.00031800995
9252,near,bus,truck,0.147917,-5.6348844,-5.7949557,2627.895,-2.0968693e-05
9546,near,bus,truck,0.012597201,-6.2866416,-6.2993188,1610.2194,-0.00013131752
9572,near,bus,truck,0.0046429399,-6.2471814,-6.2518352,582.53697,-0.00016774743
9815,near,bus,automobile,0.037887949,-4.9379802,-4.9766045,1072.1251,-3.8541482e-05
9835,near,bus,truck,0.0005904681,-7.8161349,-7.8167256,228.6045,-0.0002487265
9930,near,bus,truck,0.051005399,-5.1973319,-5.2496841,1540.3329,-4.3615545e-05
36,near,pickup_truck,truck,0.0081927437,-5.6938391,-5.7020656,571.45405,-0.00011917631
47,near,pickup_truck,truck,0.11332193,-4.5590439,-4.6793172,2015.9046,-1.736556e-05
149,near,pickup_truck,automobile,0.0014729229,-7.1141596,-7.1156336,216.28223,-0.00025022266
150,near,pickup_truck,truck,0.00071653192,-7.6970496,-7.6977664,80.534676,-0.00027049117
156,near,pickup_truck,truck,0.0049242899,-7.12395,-7.1288865,1012.5502,-0.0001988534
196,near,pickup_truck,truck,0.22287479,-3.659193,-3.9113468,3709.5543,-1.1488888e-05
256,near,pickup_truck,truck,0.0053084926,-6.1790152,-6.1843378,554.60733,-0.00013286679
353,near,pickup_truck,automobile,0.0031065596,-6.7223186,-6.72543,522.73989,-0.00018823009
460,near,pickup_truck,automobile,0.002707567,-6.5920305,-6.5947418,310.06756,-0.00020668992
507,near,pickup_truck,truck,0.056310658,-4.4566503,-4.5146085,1710.7958,-8.5713949e-06
578,near,pickup_truck,automobile,0.020732832,-5.3583951,-5.3793459,847.94004,-6.1009566e-05
796,near,pickup_truck,truck,0.0013883822,-7.0782003,-7.0795897,159.32329,-0.00022571943
803,near,pickup_truck,automobile,0.0056276599,-6.1547217,-6.1603653,485.22039,-0.00016705493
1145,near,pickup_truck,truck,0.36365943,-4.3829331,-4.8349545,2935.9707,3.5830171e-05
1155,near,pickup_truck,truck,0.039563873,-5.3834181,-5.4237859,1572.7219,-6.7164618e-05
1212,near,pickup_truck,automobile,0.016556836,-5.5442133,-5.5609087,735.70379,-0.00010039607
1327,near,pickup_truck,automobile,0.0063233804,-6.383328,-6.3896714,618.74062,-0.00013607569
1491,near,pickup_truck,automobile,0.12376781,-3.9806666,-4.1127908,1540.465,3.0928696e-05
1568,near,pickup_truck,automobile,0.0021260264,-7.1368833,-7.1390115,269.28213,-0.00021652293
1913,near,pickup_truck,truck,0.003326256,-6.6641998,-6.6675316,653.81648,-0.00019081048
2012,near,pickup_truck,truck,0.036431081,-5.4209704,-5.4580817,1484.352,-5.0212004e-05
2100,near,pickup_truck,automobile,0.0012512819,-7.1690826,-7.1703347,182.04749,-0.00021900302
2321,near,pickup_truck,automobile,0.0036125098,-6.3033552,-6.3069743,332.99232,-0.0002039865
2396,near,pickup_truck,truck,0.48005758,-3.3355269,-3.9895642,2782.5863,9.9211794e-05
2421,near,pickup_truck,truck,0.007680296,-5.91151,-5.9192199,633.56072,-0.00012580508
2556,near,pickup_truck,automobile,0.4777835,-3.0458302,-3.6955033,2817.76,0.00010152308
2603,near,pickup_truck,automobile,0.002471444,-6.6448145,-6.647289,142.02489,-0.00017225044
2882,near,pickup_truck,automobile,0.0035419279,-6.7085586,-6.7121068,404.30452,-0.00017427998
3537,near,pickup_truck,truck,0.34683668,-4.0884695,-4.5143976,3090.158,5.7178803e-05
3630,near,pickup_truck,truck,0.024806217,-5.3941317,-5.4192507,1328.6492,-8.4964787e-05
3655,near,pickup_truck,automobile,0.054937133,-5.1089759,-5.1654797,1258.0436,-4.3591262e-05
3933,near,pickup_truck,automobile,0.014301187,-5.6371822,-5.6515867,891.27921,-0.00011520047
4316,near,pickup_truck,truck,0.017862139,-5.5619431,-5.5799666,1153.0048,-8.5769008e-05
4335,near,pickup_truck,truck,0.00065625735,-7.629437,-7.6300934,231.76245,-0.00025144348
4387,near,pickup_truck,truck,0.0077632345,-6.0094323,-6.0172258,1002.389,-0.00016797701
4463,near,pickup_truck,automobile,0.016869658,-5.7773857,-5.7943993,898.33854,-0.00013947123
4506,near,pickup_truck,automobile,0.00056158084,-7.9510293,-7.951591,336.04442,-0.00031295143
4515,near,pickup_truck,automobile,0.00065198064,-7.7491336,-7.7497858,188.91367,-0.00026552377
4588,near,pickup_truck,automobile,0.0021561814,-6.9303474,-6.932506,273.83337,-0.00017175184
4693,near,pickup_truck,automobile,0.002928848,-6.870461,-6.8733941,704.31461,-0.00024185995
4821,near,pickup_truck,automobile,0.012458305,-5.6762266,-5.6887632,1076.3966,-0.00013010636
4870,near,pickup_truck,automobile,0.0014297407,-7.0867062,-7.0881369,189.7137,-0.00021847307
4881,near,pickup_truck,automobile,0.012203513,-5.8804083,-5.8926869,621.39415,-0.00012612654
5008,near,pickup_truck,automobile,0.0022946147,-6.6806865,-6.6829837,70.610121,-0.00019256096
5009,near,pickup_truck,automobile,0.0029435008,-6.78897,-6.7919178,241.62142,-0.00019483622
5110,near,pickup_truck,automobile,0.0033802548,-6.9028802,-6.9062662,451.84257,-0.00020206386
5129,near,pickup_truck,automobile,0.12182004,-5.0269752,-5.1568789,1991.3399,-5.1164258e-05
5149,near,pickup_truck,truck,0.0016465549,-6.9557281,-6.957376,152.24869,-0.00022428324
5317,near,pickup_truck,automobile,0.098997609,-4.8730807,-4.9773281,1727.4817,-9.7893967e-06
5437,near,pickup_truck,automobile,0.056001902,-4.8561535,-4.9137846,1393.7915,-3.7781835e-05
5568,near,pickup_truck,truck,0.019260044,-5.4787264,-5.4981743,1088.1607,-6.8675909e-05
5715,near,pickup_truck,automobile,0.033475649,-5.3862309,-5.4202797,1073.7518,-5.7637104e-05
5732,near,pickup_truck,automobile,0.32005324,-3.134764,-3.5205047,3043.0873,8.6922013e-05
5736,near,pickup_truck,truck,0.27394197,-4.2595139,-4.5796392,2688.3387,4.5814557e-05
5738,near,pickup_truck,automobile,0.40399336,-2.6689131,-3.1864166,2814.0193,0.00015065929
5756,near,pickup_truck,automobile,0.0017605927,-7.121994,-7.1237562,219.24434,-0.0002038018
5893,near,pickup_truck,truck,0.12347581,-4.2464643,-4.3782552,2234.8702,3.5018166e-05
5932,near,pickup_truck,truck,0.029991565,-5.4095845,-5.440035,1281.9,-7.2058551e-05
6075,near,pickup_truck,automobile,0.0016212697,-7.0527701,-7.0543927,119.31652,-0.00024444741
6574,near,pickup_truck,automobile,0.0015058101,-7.1452742,-7.1467811,168.90951,-0.0002416711
6653,near,pickup_truck,automobile,0.0021052804,-7.0816755,-7.083783,306.55723,-0.00019082306
7119,near,pickup_truck,truck,0.024698715,-5.2618051,-5.2868139,1389.878,-8.4439797e-05
7131,near,pickup_truck,truck,0.043919846,-4.699842,-4.7447555,1581.4629,-4.8652333e-05
7207,near,pickup_truck,automobile,0.0046585162,-6.4147739,-6.4194433,402.69297,-0.00014589413
7389,near,pickup_truck,automobile,0.00073795203,-7.6897125,-7.6904507,297.04659,-0.00023187648
7559,near,pickup_truck,automobile,0.0027901357,-6.9444456,-6.9472396,491.39551,-0.0001842822
7570,near,pickup_truck,truck,0.14967997,-4.7348628,-4.8970053,2426.713,-1.0734936e-05
7658,near,pickup_truck,automobile,0.00046498791,-8.0939312,-8.0943963,142.65148,-0.00028881064
7823,near,pickup_truck,truck,0.061064546,-4.7925329,-4.8555415,2109.4952,-4.4089963e-05
7866,near,pickup_truck,automobile,0.18821959,-3.780045,-3.9885704,2309.3533,7.6792048e-05
7900,near,pickup_truck,automobile,0.0022705994,-6.7136064,-6.7158795,191.88385,-0.0001930911
7962,near,pickup_truck,truck,0.0052809927,-6.0724263,-6.0777213,511.53202,-0.00016377534
7994,near,pickup_truck,truck,0.5306061,-2.8387165,-3.5950295,3982.5451,4.1427336e-05
7999,near,pickup_truck,airplane,0.44757471,-2.5303266,-3.1237637,3483.5148,6.0890474e-05
8082,near,pickup_truck,automobile,0.0041102091,-6.3005152,-6.3046339,352.15815,-0.00017567532
8165,near,pickup_truck,automobile,0.17772773,-4.5787873,-4.774471,1923.1006,-1.4303805e-06
8219,near,pickup_truck,automobile,0.01733921,-5.1499538,-5.1674451,1099.5631,-0.00012038896
8391,near,pickup_truck,truck,0.069976428,-4.8721361,-4.9446815,1708.0784,-1.5740916e-05
8455,near,pickup_truck,automobile,0.0072330364,-6.0003209,-6.0075802,520.26117,-0.00014420325
8503,near,pickup_truck,truck,0.47181139,-4.0270329,-4.6653347,2814.3705,7.7651996e-05
8519,near,pickup_truck,truck,0.31850086,-3.0072274,-3.3906877,3543.8808,9.9832202e-05
8693,near,pickup_truck,automobile,0.019007544,-5.6535196,-5.6727101,1089.5365,-0.00010125874
8944,near,pickup_truck,automobile,0.07855885,-4.1727581,-4.2545745,2064.9836,-4.8387343e-05
8947,near,pickup_truck,truck,0.0010633355,-7.5807009,-7.5817648,688.23965,-0.00028074715
8953,near,pickup_truck,automobile,0.0019123358,-6.8157649,-6.8176791,269.05612,-0.00019191388
8966,near,pickup_truck,automobile,0.013220302,-5.7751112,-5.7884197,680.04687,-0.0001133538
9030,near,pickup_truck,truck,0.011569469,-5.6737175,-5.6853544,831.52318,-0.00013141869
9081,near,pickup_truck,automobile,0.00065324581,-7.8877702,-7.8884236,233.14525,-0.00029053866
9368,near,pickup_truck,truck,0.083846878,-3.7096887,-3.7972604,2117.0667,1.0771227e-05
9377,near,pickup_truck,automobile,0.016557629,-5.866374,-5.8830703,745.56536,-9.9927544e-05
9388,near,pickup_truck,automobile,0.0022048864,-6.7653728,-6.7675801,138.60742,-0.00019041752
9429,near,pickup_truck,automobile,0.067518838,-4.6695814,-4.7394877,1297.655,9.3424654e-07
9447,near,pickup_truck,automobile,0.00142197,-7.2160435,-7.2174665,235.3086,-0.00026455862
9504,near,pickup_truck,truck,0.0087660482,-5.6452813,-5.654086,943.2285,-0.00014855482
9662,near,pickup_truck,automobile,0.0060289828,-6.1096597,-6.1157069,400.13223,-0.00016604645
9676,near,pickup_truck,automobile,0.0026287394,-6.7145467,-6.7171789,208.52526,-0.00018765221
9871,near,pickup_truck,truck,0.031640175,-5.2736473,-5.3057988,1712.8661,-8.7889677e-05
9878,near,pickup_truck,automobile,0.0017963722,-6.9640527,-6.9658507,135.24348,-0.00021360506
9880,near,pickup_truck,truck,0.0037400329,-6.4464355,-6.4501825,363.14248,-0.00016664298
9927,near,pickup_truck,automobile,0.0013496032,-7.2307286,-7.2320791,112.29753,-0.00022943695
354,near,motorcycle,automobile,0.012241723,-5.8385711,-5.8508883,1934.3732,-0.00018694692
615,near,motorcycle,frog,0.057726161,-4.7244554,-4.7839147,1965.9238,-0.00012566198
626,near,motorcycle,automobile,0.069868012,-4.4815855,-4.5540143,2393.681,-0.00011783433
752,near,motorcycle,automobile,0.16242831,-2.9201982,-3.0974466,2198.5085,5.0161665e-05
790,near,motorcycle,automobile,0.31757239,-4.5408812,-4.92298,2861.362,-4.2979954e-05
923,near,motorcycle,automobile,0.076779964,-3.7779033,-3.857791,2336.3929,-6.2114712e-05
1023,near,motorcycle,truck,0.001308836,-7.2794018,-7.2807115,816.81835,-0.00028445724
1096,near,motorcycle,cat,0.38401296,-2.2103786,-2.694908,3265.5306,8.8988676e-05
1218,near,motorcycle,automobile,0.11039894,-3.8696334,-3.9866156,2534.3539,-7.0703047e-05
1321,near,motorcycle,truck,0.049903263,-5.2921314,-5.3433229,3069.9807,-0.00010138415
1404,near,motorcycle,cat,0.069897274,-4.346499,-4.4189592,1824.4854,-9.451763e-05
1463,near,motorcycle,automobile,0.033701775,-5.4521303,-5.4864131,3078.811,-0.00015704919
1464,near,motorcycle,truck,0.1305424,-3.7000134,-3.8398991,2215.637,2.8095617e-05
1671,near,motorcycle,automobile,0.38831952,-2.6274319,-3.1189771,4384.9709,5.7510003e-05
1812,near,motorcycle,automobile,0.068258595,-4.059536,-4.1302359,1682.2712,-1.9508541e-05
1829,near,motorcycle,automobile,0.32141564,-2.6109209,-2.9986674,3740.9114,5.2634281e-05
2033,near,motorcycle,airplane,0.45559004,-2.8989522,-3.507005,3123.6451,7.9404933e-05
2066,near,motorcycle,deer,0.049775332,-4.4086528,-4.4597096,1301.8876,3.8630066e-06
2072,near,motorcycle,truck,0.43867285,-3.3282864,-3.9057378,3703.9372,5.9152515e-05
2082,near,motorcycle,automobile,0.036205015,-5.0931153,-5.129992,1764.2141,-0.00015434332
2148,near,motorcycle,truck,0.3809561,-3.2370985,-3.7166775,3932.8755,3.8429171e-06
2242,near,motorcycle,automobile,0.44598226,-3.0597844,-3.650343,3069.7771,7.4877817e-05
3027,near,motorcycle,automobile,0.57923479,-2.3046978,-3.170378,3872.3949,7.0185507e-05
3054,near,motorcycle,airplane,0.0012170266,-7.519228,-7.5204457,934.47368,-0.00027862616
3111,near,motorcycle,airplane,0.38673906,-2.8640261,-3.3529908,3212.2097,3.6017696e-05
3240,near,motorcycle,automobile,0.18474201,-3.773066,-3.9773167,2932.1749,-4.3729252e-05
3256,near,motorcycle,truck,0.34842583,-2.3442042,-2.7725682,3664.7227,8.3861166e-05
3376,near,motorcycle,automobile,0.001454563,-7.1427875,-7.1442431,410.88466,-0.00025886874
3525,near,motorcycle,airplane,0.021431405,-4.9423938,-4.9640582,1549.1945,-0.00011466218
3558,near,motorcycle,automobile,0.020666141,-4.9105401,-4.9314228,1045.0686,-0.00010536376
3606,near,motorcycle,truck,0.025225338,-4.7299695,-4.7555185,1668.0262,-9.8987474e-05
3715,near,motorcycle,frog,0.34436442,-3.0911226,-3.5132728,3429.7857,-1.915702e-05
3732,near,motorcycle,truck,0.039581313,-5.2718792,-5.3122652,2690.0191,-9.5904017e-05
3748,near,motorcycle,cat,0.61229764,-1.8135384,-2.7610558,4256.6049,0.00016162825
3857,near,motorcycle,automobile,0.51964062,-2.7675269,-3.5007476,4478.732,0.00010516443
3893,near,motorcycle,airplane,0.033891817,-5.5758715,-5.6103509,2235.1762,-0.00016445773
4028,near,motorcycle,airplane,0.31420414,-2.7445643,-3.1217396,3241.9786,4.8107272e-05
4128,near,motorcycle,truck,0.12546922,-3.7105157,-3.8445835,2623.6509,-4.2129485e-05
4147,near,motorcycle,truck,0.57213182,-1.7607261,-2.6096662,4415.7611,0.00011403976
4461,near,motorcycle,airplane,0.13496232,-3.9141567,-4.0591389,2150.953,-2.9706168e-05
4487,near,motorcycle,airplane,0.42493525,-2.2313998,-2.7846724,3315.0214,8.3933673e-05
4892,near,motorcycle,automobile,0.068718742,-3.9322197,-4.0034137,3178.9695,-8.2938497e-05
4927,near,motorcycle,airplane,0.36134649,-2.6921141,-3.1405073,3517.0693,4.6996824e-05
4960,near,motorcycle,automobile,0.39639768,-3.1500564,-3.6548961,3282.1602,2.3962288e-05
5003,near,motorcycle,automobile,0.58169422,-2.1801696,-3.0517122,3829.4064,0.00010101499
5112,near,motorcycle,truck,0.14011324,-3.6922798,-3.8432344,3944.4484,-5.8527597e-05
5114,near,motorcycle,truck,0.097359273,-3.9182305,-4.0206612,2532.952,-4.0297528e-05
5162,near,motorcycle,truck,0.10289377,-4.0947618,-4.2033428,3416.4375,-6.1639645e-05
5175,near,motorcycle,truck,0.0095093179,-5.991601,-6.0011558,935.42002,-0.00013809174
5216,near,motorcycle,horse,0.26872807,-2.4639046,-2.7768745,3294.3646,1.342801e-05
5311,near,motorcycle,frog,0.32364187,-2.9697025,-3.360735,3646.6246,4.8135927e-05
5342,near,motorcycle,frog,0.57068971,-2.0968773,-2.9424527,4025.7127,0.00011688687
5350,near,motorcycle,truck,0.0026809782,-6.5308185,-6.533503,322.54235,-0.00020844263
5430,near,motorcycle,truck,0.015305369,-5.5402474,-5.5556711,1684.2332,-0.00015775102
5460,near,motorcycle,automobile,0.034869885,-4.8465514,-4.8820438,2255.815,-0.00010754664
5469,near,motorcycle,truck,0.21341105,-3.80774,-4.0477894,4445.7643,-3.1796316e-05
5486,near,motorcycle,automobile,0.0048871569,-6.5054159,-6.5103151,1813.8723,-0.00021182837
5572,near,motorcycle,automobile,0.045703968,-5.3070798,-5.3538611,1596.7508,-7.5193698e-05
5612,near,motorcycle,airplane,0.4807041,-2.781389,-3.4366704,2933.1045,6.0689865e-05
5650,near,motorcycle,automobile,0.13255791,-3.6714332,-3.8136397,2662.3271,-2.3894819e-06
5691,near,motorcycle,cat,0.55923469,-1.879912,-2.6991547,3293.7595,0.00013247337
6022,near,motorcycle,truck,0.028640585,-4.9576731,-4.9867318,2240.4585,-0.00013245879
6144,near,motorcycle,truck,0.28649466,-3.240725,-3.5782904,5100.2539,2.3551109e-05
6279,near,motorcycle,automobile,0.088497075,-3.5980866,-3.6907471,1964.7804,2.8559884e-06
6343,near,motorcycle,truck,0.0062725682,-6.4284801,-6.4347725,1488.8926,-0.0002269527
6382,near,motorcycle,automobile,0.025381741,-5.3386989,-5.3644083,1600.8111,-0.00011795804
6416,near,motorcycle,automobile,0.097165804,-4.2734103,-4.3756267,2603.2333,-8.1042354e-05
6449,near,motorcycle,automobile,0.049427769,-4.5265231,-4.5772142,2286.2783,-4.7506089e-05
6547,near,motorcycle,automobile,0.0034898276,-6.4312773,-6.4347732,1283.3117,-0.00024392076
6730,near,motorcycle,automobile,0.52137816,-2.0633624,-2.8002068,5459.8796,8.6657984e-05
6914,near,motorcycle,truck,0.051126065,-4.1925945,-4.2450739,2453.1549,-9.6435813e-05
6954,near,motorcycle,truck,0.036797316,-4.6771359,-4.7146274,2034.9243,-6.9038719e-05
7109,near,motorcycle,automobile,0.26083437,-4.7059035,-5.0081368,3346.5299,-3.9812237e-05
7110,near,motorcycle,airplane,0.017498891,-5.362926,-5.3805798,2024.7992,-0.00016216146
7160,near,motorcycle,automobile,0.11856083,-3.8443372,-3.9705365,4126.5425,1.837499e-05
7209,near,motorcycle,truck,0.54920755,-3.0689445,-3.8656927,5465.2425,3.2348497e-05
7249,near,motorcycle,automobile,0.58265029,-2.8327682,-3.706599,3543.7188,0.00010535497
7289,near,motorcycle,truck,0.22722571,-2.4632881,-2.7210563,2753.6521,7.0217006e-05
7471,near,motorcycle,cat,0.14828998,-3.0883839,-3.2488931,2351.5395,2.4377337e-05
7489,near,motorcycle,truck,0.65152976,-1.650544,-2.7047465,4379.6544,0.00015358351
7569,near,motorcycle,automobile,0.12522668,-3.7697921,-3.9035826,2643.4097,-3.6196651e-06
7640,near,motorcycle,automobile,0.013412573,-5.5737319,-5.5872352,2725.5921,-0.00016134339
7806,near,motorcycle,automobile,0.07541653,-4.5624237,-4.6408357,2062.7798,-1.7324232e-05
7871,near,motorcycle,truck,0.24306516,-3.6717303,-3.9502084,4027.4091,2.3350475e-05
8183,near,motorcycle,truck,0.53835774,-1.716462,-2.489427,4696.5383,0.00012638691
8257,near,motorcycle,automobile,0.62029224,-1.46013,-2.4284833,4854.0241,0.00013487958
8300,near,motorcycle,automobile,0.5041121,-2.5323937,-3.2337991,3242.2198,8.9871442e-05
8457,near,motorcycle,truck,0.15012011,-4.3152466,-4.4779068,3269.1491,-3.5585683e-05
8460,near,motorcycle,automobile,0.20918671,-3.2596941,-3.4943875,4397.2979,-3.9143358e-06
8627,near,motorcycle,automobile,0.11248085,-4.3871312,-4.5064564,2372.0479,-5.3651444e-05
