index,group,fine_class,pred,u_msp,u_mls,u_energy,u_mahalanobis
4104,near,bus,airplane,0.0061063537,-7.7915859,-7.797711,1179.0694
4129,near,bus,automobile,0.36789701,-4.1879678,-4.6466707,2449.1582
4173,near,bus,truck,0.00040280263,-10.758355,-10.758758,421.12961
4185,near,bus,truck,0.001490124,-9.4160175,-9.4175088,687.75798
4201,near,bus,truck,0.004968056,-8.819788,-8.8247684,1036.264
4296,near,bus,truck,0.012202083,-9.5067968,-9.519074,1065.659
4307,near,bus,truck,6.4652155e-05,-11.123858,-11.123923,169.96945
4426,near,bus,automobile,0.3674684,-4.4417453,-4.8997704,1955.359
4434,near,bus,truck,0.00037455994,-10.039272,-10.039647,393.20053
4464,near,bus,truck,0.050529555,-7.4000826,-7.4519335,1299.3072
4468,near,bus,truck,0.0037124585,-10.25112,-10.254839,921.12192
4586,near,bus,automobile,0.00074231056,-11.109632,-11.110375,1177.9291
4740,near,bus,ship,0.55741891,-4.6827378,-5.4978694,2534.338
4756,near,bus,truck,0.099166663,-5.7725763,-5.8770113,2506.3734
4788,near,bus,automobile,0.0037331411,-8.9389009,-8.9426411,615.42228
4808,near,bus,ship,0.021789559,-7.067965,-7.0899955,1592.7017
4998,near,bus,truck,0.0064877573,-8.8892775,-8.8957864,850.1045
5015,near,bus,truck,0.00027494772,-11.376081,-11.376356,423.68579
5020,near,bus,truck,0.18743873,-5.1658001,-5.3733641,2086.1897
5064,near,bus,truck,0.016895775,-7.1143675,-7.1314076,929.79932
5163,near,bus,truck,0.00078774498,-9.1272917,-9.1280797,369.03722
5184,near,bus,truck,7.9461312e-05,-11.120844,-11.120923,196.21046
5201,near,bus,truck,0.0057383868,-10.523818,-10.529573,1122.9897
5465,near,bus,truck,0.006157414,-7.7356529,-7.7418294,775.3608
5634,near,bus,truck,0.033199636,-7.0754128,-7.109176,1367.5892
5654,near,bus,automobile,0.00072074375,-8.6622515,-8.6629725,112.88658
5748,near,bus,truck,0.00095014984,-10.446849,-10.447799,943.76806
5853,near,bus,truck,7.3978678e-05,-11.18645,-11.186524,145.72448
5920,near,bus,truck,0.00062321466,-9.2588215,-9.2594449,408.06876
6116,near,bus,truck,4.1489798e-05,-12.190375,-12.190417,624.01559
6176,near,bus,truck,0.0042479188,-9.5952663,-9.5995233,1063.1519
6303,near,bus,truck,0.075424567,-5.3319449,-5.4103656,1530.9584
6339,near,bus,truck,0.00014217425,-10.99077,-10.990913,454.70631
6411,near,bus,automobile,0.036470715,-7.8478374,-7.8849898,1279.0429
6712,near,bus,truck,0.00027368994,-11.157561,-11.157835,537.04995
6791,near,bus,airplane,0.0055274174,-8.0057325,-8.0112753,799.9756
7133,near,bus,truck,3.8112912e-05,-11.771314,-11.771352,439.55067
7376,near,bus,truck,0.0059806976,-7.1927752,-7.1987739,636.33797
7441,near,bus,truck,0.013287262,-8.9972887,-9.010665,912.66765
7508,near,bus,truck,0.093732622,-7.719471,-7.8178919,1545.7237
7567,near,bus,truck,0.12527856,-5.3194757,-5.4533254,1959.9752
7812,near,bus,truck,0.0010460797,-10.111243,-10.11229,442.35607
7816,near,bus,truck,0.10849406,-8.1460142,-8.2608574,1582.7477
8023,near,bus,truck,0.051961449,-6.2239738,-6.2773339,1907.9758
8085,near,bus,truck,0.00059340063,-9.6437588,-9.6443524,678.16193
8126,near,bus,automobile,0.077571523,-7.7956743,-7.8764198,1537.2197
8497,near,bus,truck,0.1993028,-5.2184262,-5.4406987,1919.8846
8596,near,bus,truck,0.047840255,-6.9998937,-7.0489161,1604.6042
8609,near,bus,truck,0.00040935738,-9.3578587,-9.3582681,277.30445
8655,near,bus,truck,0.00014144735,-11.591022,-11.591164,789.54848
8663,near,bus,truck,0.0068640877,-7.955081,-7.9619687,912.80286
8717,near,bus,truck,0.10503832,-7.4316211,-7.5425955,1695.3411
8920,near,bus,truck,0.53529488,-3.8854141,-4.6517663,2999.42
8958,near,bus,automobile,0.00068855327,-8.75317,-8.7538588,191.56805
9027,near,bus,airplane,0.11045587,-6.077724,-6.1947701,1822.2471
9232,near,bus,truck,0.00017088911,-10.878326,-10.878497,444.66051
9252,near,bus,truck,0.13673842,-8.2898903,-8.4369278,2084.7023
9546,near,bus,truck,0.29306769,-6.5602908,-6.9071112,2397.9908
9572,near,bus,truck,0.023946648,-7.2245545,-7.2487926,1222.4091
9815,near,bus,automobile,0.0074308529,-9.0993538,-9.1068124,885.38156
9835,near,bus,truck,0.00019850396,-9.8063927,-9.8065912,94.330842
9930,near,bus,automobile,0.27409911,-6.5822167,-6.9025585,2290.8956
36,near,pickup_truck,truck,0.17621624,-6.7451892,-6.9390364,1508.6996
47,near,pickup_truck,truck,0.11031682,-8.0702581,-8.187148,2121.9352
149,near,pickup_truck,automobile,0.0005705655,-9.1778088,-9.1783795,208.8477
150,near,pickup_truck,truck,0.00059091122,-9.7695208,-9.7701118,324.36716
156,near,pickup_truck,truck,0.0021176923,-11.025333,-11.027453,850.32772
196,near,pickup_truck,truck,0.076007298,-6.417666,-6.4967171,1774.8568
256,near,pickup_truck,truck,0.031829129,-8.1678886,-8.2002353,1289.6182
353,near,pickup_truck,automobile,0.01536009,-7.7508464,-7.7663257,797.6092
460,near,pickup_truck,automobile,0.0044650821,-8.4232998,-8.4277749,690.47782
507,near,pickup_truck,truck,0.055532335,-7.4534497,-7.5105836,1602.8971
578,near,pickup_truck,automobile,0.01131834,-8.7880526,-8.7994354,818.06042
796,near,pickup_truck,truck,0.0034523011,-8.8899536,-8.8934119,421.65959
803,near,pickup_truck,automobile,0.00090592762,-8.9511852,-8.9520916,292.87733
1145,near,pickup_truck,automobile,0.36117858,-7.3004565,-7.7485869,2497.0227
1155,near,pickup_truck,truck,0.00012071014,-11.178222,-11.178342,183.46759
1212,near,pickup_truck,automobile,0.0021482277,-8.3459511,-8.3481016,439.80387
1327,near,pickup_truck,automobile,0.0011766069,-9.2749891,-9.2761664,377.003
1491,near,pickup_truck,automobile,0.0097406237,-8.5613842,-8.5711726,847.37502
1568,near,pickup_truck,automobile,0.0021588839,-9.8649578,-9.867119,655.09652
1913,near,pickup_truck,truck,0.0014561387,-9.1158457,-9.1173029,456.13861
2012,near,pickup_truck,automobile,0.19597189,-8.1360168,-8.3541379,1944.5245
2100,near,pickup_truck,automobile,0.00057209544,-8.7372189,-8.7377911,151.87329
2321,near,pickup_truck,automobile,0.0012486678,-8.11798,-8.1192295,214.77157
2396,near,pickup_truck,automobile,0.00052268781,-10.319759,-10.320282,428.70449
2421,near,pickup_truck,truck,0.41955066,-5.7430797,-6.2870324,2223.6205
2556,near,pickup_truck,truck,0.0057343787,-7.7945251,-7.800276,923.237
2603,near,pickup_truck,automobile,0.00069306692,-8.6229153,-8.6236086,178.26215
2882,near,pickup_truck,automobile,0.00064329164,-10.135237,-10.13588,406.04254
3537,near,pickup_truck,automobile,0.24117004,-7.3276072,-7.6035847,2039.886
3630,near,pickup_truck,automobile,0.093728493,-7.5033779,-7.6017943,1728.435
3655,near,pickup_truck,truck,0.12139685,-7.8088913,-7.9383133,1630.2171
3933,near,pickup_truck,automobile,0.049129501,-6.306685,-6.3570624,1268.4376
4316,near,pickup_truck,truck,0.0017071189,-8.7654829,-8.7671915,428.18057
4335,near,pickup_truck,truck,0.00013572114,-10.139223,-10.139359,278.70724
4387,near,pickup_truck,truck,0.023564171,-8.5083532,-8.5321995,2107.5284
4463,near,pickup_truck,automobile,0.0016036396,-9.172533,-9.174138,579.73046
4506,near,pickup_truck,automobile,0.00020261082,-9.7675095,-9.7677121,155.23886
4515,near,pickup_truck,automobile,6.6409876e-05,-10.87533,-10.875396,240.48503
4588,near,pickup_truck,automobile,0.00097795321,-10.206503,-10.207481,551.52301
4693,near,pickup_truck,automobile,0.36735114,-4.9051676,-5.3630073,1748.194
4821,near,pickup_truck,automobile,0.00043834664,-9.7513762,-9.7518146,446.31352
4870,near,pickup_truck,automobile,0.00026698306,-9.9047527,-9.9050198,166.84206
4881,near,pickup_truck,automobile,0.00031584616,-10.359684,-10.36,279.01555
5008,near,pickup_truck,automobile,0.002239478,-8.5520144,-8.5542563,454.35136
5009,near,pickup_truck,automobile,0.00031391296,-9.5959749,-9.5962889,128.76042
5110,near,pickup_truck,automobile,0.0034392717,-9.3070612,-9.3105064,676.95806
5129,near,pickup_truck,truck,0.23824516,-7.0902944,-7.3624249,1774.0187
5149,near,pickup_truck,truck,0.0020532201,-8.6314116,-8.6334669,559.70487
5317,near,pickup_truck,automobile,0.0070411416,-9.130084,-9.1371501,827.42502
5437,near,pickup_truck,truck,0.024208797,-8.4883785,-8.5128852,1107.5855
5568,near,pickup_truck,automobile,0.45870287,-6.330492,-6.9442789,2196.9089
5715,near,pickup_truck,automobile,0.012742894,-8.21033,-8.2231548,978.05752
5732,near,pickup_truck,automobile,0.10333026,-5.6633706,-5.7724383,1527.5341
5736,near,pickup_truck,truck,0.018866985,-8.1906013,-8.2096486,956.99057
5738,near,pickup_truck,automobile,0.018397078,-7.5023665,-7.520935,1156.6229
5756,near,pickup_truck,automobile,0.00043107038,-10.622215,-10.622646,401.31442
5893,near,pickup_truck,truck,0.31082133,-5.8602748,-6.2325295,1823.9839
5932,near,pickup_truck,automobile,0.31643353,-6.2184353,-6.5988667,2256.9947
6075,near,pickup_truck,automobile,0.0014712767,-8.161377,-8.1628493,256.6858
6574,near,pickup_truck,automobile,0.00022900695,-10.067653,-10.067882,369.10701
6653,near,pickup_truck,automobile,0.00040536584,-10.689109,-10.689514,386.37842
7119,near,pickup_truck,truck,0.058520205,-7.4167595,-7.4770619,1157.8202
7131,near,pickup_truck,truck,0.049937831,-7.9129653,-7.9641932,1302.6875
7207,near,pickup_truck,automobile,0.0029857997,-9.888937,-9.8919273,987.36439
7389,near,pickup_truck,automobile,0.00022829167,-10.350864,-10.351093,263.2926
7559,near,pickup_truck,automobile,0.0010129119,-9.5112944,-9.5123078,548.52705
7570,near,pickup_truck,truck,0.28753627,-7.2829437,-7.62197,1883.085
7658,near,pickup_truck,automobile,0.00023216146,-9.8013601,-9.8015923,168.16844
7823,near,pickup_truck,automobile,0.23260854,-6.7113881,-6.9761463,2543.9639
7866,near,pickup_truck,automobile,0.1565205,-5.2783942,-5.4486139,1650.6228
7900,near,pickup_truck,automobile,0.00022424688,-10.552876,-10.5531,332.92466
7962,near,pickup_truck,truck,0.00094763716,-8.7674637,-8.7684118,415.36673
7994,near,pickup_truck,truck,0.40808599,-5.1215291,-5.645923,2653.1191
7999,near,pickup_truck,airplane,0.19888906,-5.0143347,-5.2360905,2047.9572
8082,near,pickup_truck,automobile,0.00089323034,-8.5103331,-8.5112267,236.56205
8165,near,pickup_truck,automobile,0.36060642,-7.1115818,-7.5588169,2768.0359
8219,near,pickup_truck,automobile,0.012081887,-7.2741351,-7.2862906,1000.8208
8391,near,pickup_truck,truck,0.0011710084,-9.8840256,-9.8851973,398.97302
8455,near,pickup_truck,automobile,0.00064991516,-9.6273642,-9.6280143,217.16663
8503,near,pickup_truck,automobile,0.038112489,-8.60005,-8.6389077,1443.0897
8519,near,pickup_truck,automobile,0.025322056,-7.7483692,-7.7740174,1114.0341
8693,near,pickup_truck,truck,0.27531155,-6.957756,-7.2797695,2163.0838
8944,near,pickup_truck,automobile,0.14635145,-5.7851291,-5.9433648,1662.8775
8947,near,pickup_truck,truck,0.023698225,-7.9872866,-8.0112701,1448.9067
8953,near,pickup_truck,automobile,0.00080389347,-8.8523045,-8.8531087,218.38661
8966,near,pickup_truck,automobile,0.0013661032,-9.4389095,-9.4402766,402.78333
9030,near,pickup_truck,automobile,0.10867322,-7.4519405,-7.5669847,1415.4933
9081,near,pickup_truck,automobile,0.00011717637,-10.734071,-10.734188,199.3033
9368,near,pickup_truck,truck,0.00075847633,-8.776392,-8.7771507,418.79783
9377,near,pickup_truck,automobile,0.0030399978,-8.8011894,-8.8042341,553.14976
9388,near,pickup_truck,automobile,0.00016219639,-10.272745,-10.272907,268.16882
9429,near,pickup_truck,automobile,0.0022966524,-8.2802715,-8.2825708,463.44219
9447,near,pickup_truck,automobile,0.0025222379,-8.5435581,-8.5460835,444.74118
9504,near,pickup_truck,truck,0.0077983217,-8.5213165,-8.5291454,726.2251
9662,near,pickup_truck,automobile,0.30890667,-6.0026617,-6.3721421,1749.1795
9676,near,pickup_truck,automobile,0.11741889,-8.1623039,-8.2872085,1567.2267
9871,near,pickup_truck,truck,0.041177903,-7.298676,-7.3407257,1223.0286
9878,near,pickup_truck,automobile,0.00067570158,-8.9304838,-8.9311597,186.38692
9880,near,pickup_truck,truck,0.00056828982,-10.624811,-10.62538,712.39499
9927,near,pickup_truck,automobile,0.0015224177,-9.0933323,-9.0948559,435.7525
354,near,motorcycle,automobile,0.42355357,-3.1278706,-3.6787434,2485.0705
615,near,motorcycle,airplane,0.63527274,-2.4593186,-3.4679241,2607.8694
626,near,motorcycle,automobile,0.43608946,-3.6817861,-4.2546457,2165.8043
752,near,motorcycle,bird,0.63301371,-3.4787436,-4.4811743,3035.0603
790,near,motorcycle,automobile,0.17530238,-6.376945,-6.5696835,1747.6154
923,near,motorcycle,automobile,0.12236581,-4.9534812,-5.0840066,1713.0322
1023,near,motorcycle,truck,0.017753362,-7.1251535,-7.1430664,1100.7679
1096,near,motorcycle,cat,0.07660357,-6.2517972,-6.3314938,1335.9554
1218,near,motorcycle,automobile,0.073660276,-5.2791848,-5.3556991,1390.7721
1321,near,motorcycle,automobile,0.13469526,-6.3816228,-6.5262963,2414.9144
1404,near,motorcycle,cat,0.058049302,-6.2058034,-6.2656057,1340.4774
1463,near,motorcycle,automobile,0.20622851,-5.6442771,-5.8752367,1816.7135
1464,near,motorcycle,truck,0.19501065,-5.8393822,-6.0563084,2289.438
1671,near,motorcycle,airplane,0.49824951,-3.3126705,-4.0023228,2719.914
1812,near,motorcycle,automobile,0.57996006,-2.1684842,-3.0358897,2512.9064
1829,near,motorcycle,automobile,0.12958084,-6.3613272,-6.5001076,1692.2229
2033,near,motorcycle,truck,0.16981999,-5.4402947,-5.6264075,2450.1914
2066,near,motorcycle,horse,0.67063908,-1.7424124,-2.8530136,2563.7417
2072,near,motorcycle,truck,0.15103165,-4.9818926,-5.145626,2127.2376
2082,near,motorcycle,automobile,0.0045121359,-8.2212181,-8.2257405,762.91082
2148,near,motorcycle,automobile,0.56759154,-3.5685949,-4.4069796,3340.0369
2242,near,motorcycle,truck,0.27104043,-4.5016422,-4.8177792,2397.4118
3027,near,motorcycle,cat,0.49367814,-3.7990885,-4.4796712,2340.1322
3054,near,motorcycle,airplane,0.0029111277,-8.0896244,-8.0925398,750.25731
3111,near,motorcycle,frog,0.14300642,-4.8205214,-4.9748462,1895.3129
3240,near,motorcycle,airplane,0.63135033,-2.8506463,-3.8485548,2612.3359
3256,near,motorcycle,airplane,0.46550365,-4.0690331,-4.6954635,2450.4014
3376,near,motorcycle,automobile,0.00063511047,-9.9641094,-9.9647447,530.1923
3525,near,motorcycle,horse,0.19152109,-4.5678859,-4.7804866,1847.1259
3558,near,motorcycle,automobile,0.0015237203,-8.3924494,-8.3939743,442.61243
3606,near,motorcycle,truck,0.028635702,-6.5288014,-6.5578551,1440.1986
3715,near,motorcycle,automobile,0.72922561,-2.1410732,-3.4475425,3000.5245
3732,near,motorcycle,truck,0.14215929,-4.8907781,-5.0441149,1908.7599
3748,near,motorcycle,cat,0.24638258,-6.1071973,-6.3900677,2330.1184
3857,near,motorcycle,automobile,0.21279137,-5.4848008,-5.7240628,1962.0737
3893,near,motorcycle,cat,0.42618074,-4.1482444,-4.7036852,1838.041
4028,near,motorcycle,airplane,0.56777379,-3.5944102,-4.4332164,2691.9607
4128,near,motorcycle,dog,0.55772473,-3.72053,-4.5363528,2776.6357
4147,near,motorcycle,automobile,0.26510948,-4.018559,-4.3265927,2329.1669
4461,near,motorcycle,airplane,0.24784502,-4.9943233,-5.2791361,2385.8765
4487,near,motorcycle,airplane,0.075042496,-5.7296963,-5.8077038,1765.3071
4892,near,motorcycle,bird,0.31499308,-3.8427708,-4.2210972,2424.8821
4927,near,motorcycle,truck,0.035421255,-6.2645373,-6.3006011,2380.1824
4960,near,motorcycle,automobile,0.21914143,-5.8332562,-6.0806175,1933.7888
5003,near,motorcycle,automobile,0.23851989,-4.8047152,-5.0772064,1784.9427
5112,near,motorcycle,cat,0.46279524,-3.2742498,-3.8956258,2164.6199
5114,near,motorcycle,truck,0.25572462,-5.0960255,-5.3913696,2323.5955
5162,near,motorcycle,cat,0.047693333,-6.5636024,-6.6124706,1592.7861
5175,near,motorcycle,truck,0.0031016699,-8.7401752,-8.7432817,838.30999
5216,near,motorcycle,deer,0.42145158,-4.1538391,-4.7010721,2084.9225
5311,near,motorcycle,frog,0.30337905,-3.9075465,-4.2690604,2061.2683
5342,near,motorcycle,frog,0.29998985,-4.1037273,-4.4603878,2769.1093
5350,near,motorcycle,truck,0.02481241,-6.3577399,-6.3828654,1350.1644
5430,near,motorcycle,truck,0.034333812,-5.9451351,-5.9800722,1567.8108
5460,near,motorcycle,truck,0.037641229,-6.2077756,-6.2461435,1296.7547
5469,near,motorcycle,dog,0.2045516,-5.2060704,-5.4349197,2673.8888
5486,near,motorcycle,automobile,0.092917771,-5.1144767,-5.2119989,2037.2528
5572,near,motorcycle,automobile,0.24495649,-6.9182754,-7.1992553,2174.0357
5612,near,motorcycle,airplane,0.16812375,-4.3729815,-4.5570531,1924.5613
5650,near,motorcycle,truck,0.61257346,-3.7887216,-4.7369506,2849.7062
5691,near,motorcycle,airplane,0.70390521,-2.464839,-3.6819146,2933.9162
6022,near,motorcycle,cat,0.43752668,-4.024601,-4.6000126,2771.8238
6144,near,motorcycle,airplane,0.031378991,-6.2757072,-6.3075891,1468.845
6279,near,motorcycle,automobile,0.064191794,-5.3284874,-5.3948321,1586.7233
6343,near,motorcycle,truck,0.42790511,-4.2903295,-4.8487799,2145.3095
6382,near,motorcycle,automobile,0.32668757,-5.1349902,-5.530536,1981.6282
6416,near,motorcycle,airplane,0.11666082,-5.0452571,-5.1693031,1862.5447
6449,near,motorcycle,truck,0.39966156,-3.9493902,-4.4596519,2270.7129
6547,near,motorcycle,truck,0.59794398,-3.0978315,-4.0089953,2971.4011
6730,near,motorcycle,horse,0.39321558,-4.0658488,-4.5654305,2300.1692
6914,near,motorcycle,truck,0.060306653,-5.8949876,-5.9571893,2111.8967
6954,near,motorcycle,automobile,0.021392553,-6.9669957,-6.9886204,1296.8661
7109,near,motorcycle,automobile,0.36999293,-4.778306,-5.2403303,2237.3899
7110,near,motorcycle,airplane,0.32673409,-5.651051,-6.046666,1686.7692
7160,near,motorcycle,horse,0.58515235,-3.2629144,-4.1427583,3315.6826
7209,near,motorcycle,cat,0.62119758,-3.5936797,-4.5644202,2649.3649
7249,near,motorcycle,automobile,0.15962326,-5.6661439,-5.8400489,1930.1257
7289,near,motorcycle,truck,0.39043194,-3.484657,-3.9796617,2065.3262
7471,near,motorcycle,cat,0.5878603,-3.603564,-4.4899569,2858.0447
7489,near,motorcycle,horse,0.0006372154,-9.0484381,-9.0490755,453.09947
7569,near,motorcycle,automobile,0.069267262,-5.7927437,-5.8645268,1825.6525
7640,near,motorcycle,cat,0.12962312,-5.8529997,-5.9918287,1447.8205
7806,near,motorcycle,automobile,0.58476477,-2.9070439,-3.785954,2815.2045
7871,near,motorcycle,automobile,0.010705431,-7.4221044,-7.4328675,1184.2416
8183,near,motorcycle,airplane,0.044032333,-5.4837174,-5.5287486,1714.1241
8257,near,motorcycle,horse,0.61547267,-2.6460278,-3.6017682,2830.3841
8300,near,motorcycle,automobile,0.06517032,-5.6877608,-5.7551518,1879.6791
8457,near,motorcycle,airplane,0.19615208,-5.319767,-5.5381122,2184.785
8460,near,motorcycle,cat,0.49796968,-3.185514,-3.8746087,2398.0736
8627,near,motorcycle,automobile,0.44246108,-3.230329,-3.814552,2081.6149
8763,near,motorcycle,automobile,0.14077838,-5.2602444,-5.4119728,1790.9143
8929,near,motorcycle,truck,0.25490023,-3.6002598,-3.8944969,1973.0095
8981,near,motorcycle,truck,0.16987722,-4.743854,-4.9300357,1968.4252
9007,near,motorcycle,airplane,0.067606505,-6.1243796,-6.19438,1876.1187
9017,near,motorcycle,automobile,0.48142895,-4.0955029,-4.7521811,2607.8658
9205,near,motorcycle,automobile,0.016624059,-7.7842379,-7.8010017,2383.276
9276,near,motorcycle,airplane,0.032313412,-6.7935357,-6.8263827,1545.5069
9345,near,motorcycle,automobile,0.01981533,-7.8793654,-7.8993797,969.68245
9654,near,motorcycle,cat,0.087009129,-5.5691028,-5.6601322,1390.95
9833,near,motorcycle,automobile,0.043216261,-5.7415571,-5.785735,1200.3105
85,near,tractor,truck,0.19998071,-5.8715634,-6.0946829,1924.4184
230,near,tractor,cat,0.5871481,-2.9876232,-3.8722896,2598.991
262,near,tractor,truck,0.0081576688,-6.7565289,-6.76472,717.09734
283,near,tractor,truck,0.00075629453,-9.0126333,-9.0133899,254.30924
299,near,tractor,automobile,0.048810158,-7.5419445,-7.5919861,1758.443
321,near,tractor,truck,0.0045530443,-8.2094336,-8.213997,735.0921
366,near,tractor,cat,0.042423594,-5.9526672,-5.996017,1833.2848
409,near,tractor,truck,0.50309998,-3.6831758,-4.3825422,2351.5281
498,near,tractor,truck,0.51026958,-3.3487659,-4.0626661,2419.884
652,near,tractor,truck,0.16168973,-5.4954348,-5.6718018,1732.7875
921,near,tractor,truck,0.0017533714,-8.5327444,-8.5344993,409.64537
995,near,tractor,truck,0.038935597,-5.59726,-5.6369739,1289.3983
1081,near,tractor,truck,0.0047822696,-7.7666173,-7.771411,673.03314
1181,near,tractor,bird,0.069022809,-5.2783556,-5.3498761,1528.179
1260,near,tractor,truck,0.00037817372,-9.8628073,-9.8631855,385.91193
1261,near,tractor,truck,0.35065729,-5.9469948,-6.3787894,2013.0035
1753,near,tractor,truck,0.066716377,-5.8509445,-5.9199907,2107.8548
1864,near,tractor,truck,0.034094997,-6.0688581,-6.1035479,1160.0392
1881,near,tractor,deer,0.021727838,-5.9912186,-6.0131859,1112.978
1976,near,tractor,truck,0.11373752,-5.5801558,-5.700898,1561.6772
2029,near,tractor,truck,0.0016351592,-8.6154814,-8.6171179,600.03794
2101,near,tractor,ship,0.018239472,-6.6967845,-6.7151924,1361.5044
2123,near,tractor,truck,0.00078816855,-8.9188652,-8.9196537,383.12
2144,near,tractor,truck,0.00048811302,-9.876605,-9.8770933,454.5874
2171,near,tractor,truck,0.20373112,-5.294601,-5.5224193,2055.9488
2503,near,tractor,truck,0.48510772,-4.0125322,-4.6763298,2522.382
2569,near,tractor,truck,0.032291669,-7.0476193,-7.0804439,1232.7459
2624,near,tractor,truck,0.0089515046,-7.3835001,-7.3924919,1178.9375
2675,near,tractor,truck,0.013233303,-8.3019638,-8.3152854,1456.2249
2871,near,tractor,truck,0.022774626,-7.6312819,-7.6543198,1797.8485
2911,near,tractor,ship,0.20470957,-3.8969607,-4.1260086,1992.6698
2956,near,tractor,truck,0.0028977925,-8.9745312,-8.9774332,1273.0231
2992,near,tractor,ship,0.35649627,-6.5022993,-6.9431268,2728.0225
3177,near,tractor,truck,0.19164426,-5.7209787,-5.9337318,1364.6382
3412,near,tractor,truck,0.0058101207,-8.3903418,-8.3961688,1275.1065
3484,near,tractor,truck,0.0008502849,-9.8497028,-9.8505535,1064.9464
3532,near,tractor,truck,0.0016366256,-8.526268,-8.527906,481.74478
3840,near,tractor,truck,0.086969125,-5.6960568,-5.7870424,2132.9119
3913,near,tractor,truck,0.028392684,-7.1645784,-7.193382,1690.6097
4027,near,tractor,truck,0.017122693,-7.3552971,-7.3725681,1074.8918
4109,near,tractor,airplane,0.29218938,-4.6886411,-5.0342198,2639.114
4404,near,tractor,truck,0.00076839101,-9.5210657,-9.5218344,684.70536
4517,near,tractor,frog,0.27396719,-4.5931101,-4.9132702,2283.4096
4610,near,tractor,truck,0.015150094,-7.8714194,-7.8866855,883.91852
4663,near,tractor,truck,6.1456973e-05,-11.399497,-11.399558,571.47609
4691,near,tractor,truck,0.00063413525,-9.1653805,-9.1660148,321.09483
4731,near,tractor,truck,0.00015456589,-10.421334,-10.421489,474.92669
5025,near,tractor,truck,0.0034944463,-7.775362,-7.7788626,603.13796
5141,near,tractor,airplane,0.37342531,-3.8071866,-4.2746739,2610.6091
5182,near,tractor,ship,0.12076682,-5.2406106,-5.3693157,1785.157
5189,near,tractor,truck,0.072793081,-6.2571511,-6.3327297,1341.9214
5287,near,tractor,truck,0.014235843,-7.5739403,-7.5882784,1535.442
5314,near,tractor,ship,0.12718758,-4.5424213,-4.678456,2182.6777
5327,near,tractor,truck,0.26208342,-5.1097021,-5.4136266,2854.7176
5445,near,tractor,truck,0.051001933,-7.7229233,-7.7752718,1741.6754
5495,near,tractor,truck,0.0079078233,-8.0032434,-8.0111827,1207.4782
5550,near,tractor,truck,0.0011956332,-10.162959,-10.164155,876.31299
